IATA N°,Cia.,Nro. Docto,Fecha Emisi,$/D,CA,CC,TOTAL TRANSAC,VALOR TARIFA,IMP,TASAS & CARGOS,IVA TARIFA,COM STD,COM SUPL,IVA COM,NETO A PAGAR,,OPERACION N°,FACTURA N°,PAX
12345678,3157965090.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18540.00,18540.00,19213.00,7012.10,,0.00,0.00,,,26225.10,,26225,,0.00
12345678,3157965091.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18541.00,18541.00,7007.00,535.20,,768.84,0.00,,,8311.04,,8311,,0.00
12345678,3157965092.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18542.00,18542.00,4175.00,374.90,,0.00,0.00,,,4549.90,,4550,,0.00
12345678,3157965093.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18542.00,18542.00,4175.00,374.90,,0.00,0.00,,,4549.90,,4550,,0.00
12345678,3157965094.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18543.00,18543.00,3493.00,362.30,,0.00,0.00,,,3855.30,,3855,,0.00
12345678,3157965095.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18543.00,18543.00,3493.00,362.30,,0.00,0.00,,,3855.30,,3855,,0.00
12345678,3157965096.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18544.00,18544.00,2643.00,338.82,,290.00,0.00,,,3271.82,,3272,,0.00
12345678,3157965097.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18545.00,18545.00,14260.00,977.34,,1564.68,0.00,,,0.00,,0,,16802.02
12345678,3157965098.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18545.00,18545.00,,0.00,,,,,,,,,,
12345678,3157965099.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18546.00,18546.00,3000.00,354.88,,329.18,0.00,,,0.00,,0,,3684.06
12345678,3157965100.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18546.00,18546.00,3000.00,354.88,,329.18,0.00,,,0.00,,0,,3684.06
12345678,3157965101.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18547.00,18547.00,6096.00,384.26,,668.88,0.00,,,0.00,,0,,7149.14
12345678,3157965102.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18548.00,18548.00,13121.00,4922.90,,0.00,918.47,,,17125.43,,18044,,0.00
12345678,3157965105.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18554.00,18554.00,7000.00,534.88,,768.08,0.00,,,8302.96,,8303,,0.00
12345678,3157965106.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18554.00,18554.00,7000.00,534.88,,768.08,0.00,,,8302.96,,8303,,0.00
12345678,3157965107.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18559.00,18559.00,16401.00,1222.70,,0.00,0.00,,,0.00,,0,,17623.70
12345678,3157965108.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18559.00,18559.00,16401.00,1222.70,,0.00,0.00,,,17623.70,,17624,,0.00
12345678,3157965109.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18561.00,18561.00,2743.00,-300.98,,300.98,0.00,,,2660.71,,2743,,0.00
12345678,3157965110.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18561.00,18561.00,2743.00,-300.98,,300.98,0.00,,,2660.71,,2743,,0.00
12345678,3157965111.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18565.00,18565.00,27775.00,6066.60,,0.00,0.00,,,0.00,,0,,33841.60
12345678,3157965112.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18567.00,18567.00,14260.00,977.34,,1564.68,0.00,,,0.00,,0,,16802.02
12345678,3157965113.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18567.00,18567.00,,0.00,,,,,,,,,,
12345678,3157965114.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18573.00,18573.00,32291.00,9086.20,,0.00,0.00,,,41377.20,,41377,,0.00
12345678,3157965115.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18573.00,18573.00,32291.00,9086.20,,0.00,0.00,,,41377.20,,41377,,0.00
12345678,3157965116.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18573.00,18573.00,32291.00,9086.20,,0.00,0.00,,,41377.20,,41377,,0.00
12345678,3157965117.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18573.00,18573.00,31055.00,8999.70,,0.00,0.00,,,40054.70,,40055,,0.00
12345678,3157965118.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18583.00,18583.00,12684.00,790.66,,1391.75,0.00,,,14717.82,,14866,,0.00
12345678,3157965119.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18583.00,18583.00,12684.00,790.66,,1391.75,0.00,,,14717.82,,14866,,0.00
12345678,3157965120.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18583.00,18583.00,11416.00,733.60,,1252.62,0.00,,,13253.63,,13402,,0.00
12345678,3157965121.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18585.00,18585.00,1298.00,168.35,,142.42,0.00,,,1608.77,,1609,,0.00
12345678,3157965122.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18585.00,18585.00,1298.00,168.35,,142.42,0.00,,,1608.77,,1609,,0.00
12345678,3157965123.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18586.00,18586.00,3079.00,248.50,,337.84,0.00,,,3665.34,,3665,,0.00
12345678,3157965124.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18586.00,18586.00,3079.00,248.50,,337.84,0.00,,,3665.34,,3665,,0.00
12345678,3157965125.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18591.00,18591.00,7416.00,553.60,,813.72,0.00,,,8560.84,,8783,,0.00
12345678,3157965126.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18591.00,18591.00,7416.00,553.60,,813.72,0.00,,,8560.84,,8783,,0.00
12345678,3157965127.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18597.00,18597.00,27349.00,4973.20,,0.00,0.00,,,32322.20,,32322,,0.00
12345678,3157965128.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18597.00,18597.00,27349.00,4973.20,,0.00,0.00,,,32322.20,,32322,,0.00
12345678,3157965129.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18599.00,18599.00,14825.00,7543.20,,0.00,0.00,,,22368.20,,22368,,0.00
12345678,3157965130.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18610.00,18610.00,1216.00,-133.43,,133.43,0.00,,,1216.00,,1216,,0.00
12345678,3157965131.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18610.00,18610.00,1216.00,-133.43,,133.43,0.00,,,1216.00,,1216,,0.00
12345678,3157965132.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18619.00,18619.00,3953.00,397.77,,433.74,0.00,,,4784.51,,4785,,0.00
12345678,3157965133.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18620.00,18620.00,50779.00,9460.30,,0.00,507.79,,,29095.41,,34173,,26066.00
12345678,3157965134.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18624.00,18624.00,2167.00,207.46,,237.77,0.00,,,2547.22,,2612,,0.00
12345678,3157965135.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18624.00,18624.00,2167.00,207.46,,237.77,0.00,,,2547.22,,2612,,0.00
12345678,3157965136.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18625.00,18625.00,25517.00,9011.40,,0.00,765.51,,,33762.89,,34528,,0.00
12345678,3157965137.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18625.00,18625.00,25517.00,9011.40,,0.00,765.51,,,33762.89,,34528,,0.00
12345678,3157965138.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18626.00,18626.00,10011.00,25337.80,,0.00,100.11,,,35248.69,,35349,,0.00
12345678,3157965139.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18626.00,18626.00,,0.00,,,,,,,,,,
12345678,3157965140.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18626.00,18626.00,10011.00,25337.80,,0.00,100.11,,,35248.69,,35349,,0.00
12345678,3157965141.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18626.00,18626.00,,0.00,,,,,,,,,,
12345678,3157965142.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18626.00,18626.00,10011.00,25337.80,,0.00,100.11,,,35248.69,,35349,,0.00
12345678,3157965143.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18626.00,18626.00,,0.00,,,,,,,,,,
12345678,3157965144.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18660.00,18660.00,37517.00,14396.10,,0.00,0.00,,,51913.10,,51913,,0.00
12345678,3157965145.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18838.00,18838.00,23004.00,15999.80,,0.00,230.04,,,38773.76,,39004,,0.00
12345678,3157965146.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18838.00,18838.00,,0.00,,,,,,,,,,
12345678,3157965147.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18838.00,18838.00,23004.00,15999.80,,0.00,230.04,,,38773.76,,39004,,0.00
12345678,3157965148.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18838.00,18838.00,,0.00,,,,,,,,,,
12345678,3157965149.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18839.00,18839.00,15506.00,10775.10,,0.00,155.06,,,26126.04,,26281,,0.00
12345678,3157965150.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18860.00,18860.00,14950.00,1008.39,,1640.39,0.00,,,0.00,,0,,17598.78
12345678,3157965151.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18860.00,18860.00,,0.00,,,,,,,,,,
12345678,3157965152.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18872.00,18872.00,35571.00,8157.20,,0.00,355.71,,,43372.49,,43728,,0.00
12345678,3157965153.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18876.00,18876.00,4507.00,422.70,,494.53,0.00,,,5424.23,,5424,,0.00
12345678,3157965154.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18876.00,18876.00,4507.00,422.70,,494.53,0.00,,,5424.23,,5424,,0.00
12345678,3157965155.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18876.00,18876.00,4056.00,402.40,,445.04,0.00,,,4903.44,,4903,,0.00
12345678,3157965156.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18876.00,18876.00,0.00,0.00,,0.00,0.00,,,0.00,,0,,0.00
12345678,3157965160.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18877.00,18877.00,35571.00,8157.20,,0.00,355.71,,,43372.49,,43728,,0.00
